Watchlist Scanner

Results
Symbol,Description,Market Cap,Last,Net Chng,%Change,Volume,Bid,Ask,EPS,Free Cash Flow Per Share - Current (Annual),Vol Index
GOOGL,ALPHABET INC COM CL A,"1,775,138 M",2685.65,-86.75,-3.13%,"1,997,917",2674.28,2684.00,112.2,$94.78,35.68%
CHTR,CHARTER COMMUNICATIONS INC COM CL A,"104,462 M",604.73,-1.79,-0.30%,"1,517,223",550.00,659.75,24.47,$43.74,32.76%
LH,LABORATORY CORP AMER HLDGS COM,"25,720 M",276.26,-5.93,-2.10%,"1,709,152",200.02,345.00,24.39,$26.64,31.77%
CI,CIGNA CORPORATION COM,"73,471 M",227.50,-2.77,-1.20%,"1,215,475",220.90,250.00,23.62,$25.13,34.00%
TRV,TRAVELERS COMPANIES INC COM,"41,429 M",171.76,-.67,-0.39%,"1,460,284",168.01,172.77,14.49,$22.22,28.74%
LRCX,LAM RESEARCH CORP COM,"78,119 M",559.99,-34.88,-5.86%,"1,578,513",558.55,559.99,32.06,$21.96,53.41%
TMO,THERMO FISHER SCIENTIFIC INC COM,"223,145 M",566.29,-13.99,-2.41%,"1,726,170",562.50,715.00,19.46,$20.61,32.56%
UWMC,UWM HLDGS CORP COM CL A,447 M,4.45,0,0.00%,"1,646,073",4.41,4.45,-.173,$20.54,80.87%
NUE,NUCOR CORP COM,"32,208 M",118.41,-3.18,-2.62%,"3,304,742",118.11,118.50,23.16,$20.41,55.43%
GS,GOLDMAN SACHS GROUP INC COM,"121,109 M",363.06,-7.51,-2.03%,"3,142,097",362.50,364.92,59.45,$19.15,36.55%
FDX,FEDEX CORP COM,"61,529 M",232.21,-8.20,-3.41%,"4,680,986",230.57,260.00,18.16,$19.10,45.80%
CB,CHUBB LIMITED COM,"84,945 M",204.06,-4.54,-2.18%,"2,842,146",204.00,205.43,19.27,$18.52,29.13%
LMT,LOCKHEED MARTIN CORP COM,"107,893 M",396.19,+10.76,+2.79%,"3,276,387",396.19,396.98,22.76,$16.96,31.97%
AVGO,BROADCOM INC COM,"236,750 M",573.42,-17.94,-3.03%,"2,728,064",571.12,573.00,15,$16.87,53.42%
BIDU,BAIDU INC ADR,"55,912 M",160.64,-3.92,-2.38%,"2,325,609",160.35,160.63,19.8,$15.87,59.13%
WTW,WILLIS TOWERS WATSON PLC COM,"26,998 M",221.19,-5.39,-2.38%,"1,461,461",200.00,230.00,32.78,$15.41,30.49%
THC,TENET HEALTHCARE CORP COM,"8,750 M",81.68,-3.31,-3.89%,"1,332,834",79.50,82.00,8.42,$15.17,50.66%
X,UNITED STATES STEEL CORP COM,"6,399 M",23.68,-.55,-2.27%,"24,213,363",23.64,23.68,14.88,$13.96,66.73%
ADBE,ADOBE INC COM,"223,879 M",473.97,-21.05,-4.25%,"5,026,970",473.45,474.50,10.02,$13.70,45.34%
FB,META PLATFORMS INC COM CL A,"597,602 M",219.55,-8.52,-3.74%,"46,156,943",219.00,219.10,13.77,$13.44,49.82%
STLD,STEEL DYNAMICS INC COM,"12,048 M",60.71,-.63,-1.03%,"2,474,407",59.90,60.71,15.56,$13.32,52.93%
LEN,LENNAR CORP COM CL A,"27,359 M",91.54,-.44,-0.48%,"1,790,148",82.42,125.87,14.27,$12.42,49.56%
SPGI,S&P GLOBAL INC COM,"93,465 M",387.66,-8.79,-2.22%,"2,731,867",367.24,490.00,12.51,$11.95,32.27%
DE,DEERE & CO COM,"121,020 M",392.67,-.48,-0.12%,"2,390,189",391.00,394.00,18.99,$11.82,43.17%
VRTX,VERTEX PHARMACEUTICAL COM,"59,543 M",233.89,-2.00,-0.85%,"1,524,443",229.81,241.11,9.01,$11.57,39.81%
DVA,DAVITA INC COM,"11,374 M",111.62,+.16,+0.14%,"1,372,350",105.50,118.00,8.59,$11.51,29.04%
AMGN,AMGEN INC COM,"127,336 M",228.20,-.62,-0.27%,"3,557,814",228.00,229.74,10.28,$10.76,29.16%
KLAC,KLA CORPORATION COM,"55,649 M",369.23,-20.48,-5.26%,"1,657,808",365.83,374.99,19.43,$10.53,51.06%
DHI,DR HORTON INC COM,"29,851 M",84.24,-.79,-0.93%,"2,912,784",83.11,84.98,12.44,$10.47,46.53%
DELL,DELL TECHNOLOGIES INC COM CL C,"45,459 M",59.51,-1.21,-1.99%,"2,449,937",59.52,61.80,8.66,$10.35,39.49%
OLN,OLIN CORP COM,"8,066 M",51.44,-1.27,-2.41%,"1,955,660",45.00,52.08,7.96,$10.08,49.22%
QRVO,QORVO INC COM,"13,797 M",127.24,-6.50,-4.86%,"2,203,691",127.00,128.83,9.88,$9.80,48.09%
CPSS,CONSUMER PORTFOLIO SERVICES COM,227 M,10.75,-1.90,-15.02%,"1,414,218",10.76,10.78,1.28,$9.73,90.32%
VIRT,VIRTU FINANCIAL INC COM CL A,"4,039 M",35.69,+.67,+1.91%,"1,448,506",35.00,35.89,3.91,$9.62,34.83%
ACN,ACCENTURE PLC COM,"208,042 M",329.18,-13.21,-3.86%,"3,091,555",325.53,330.00,9.62,$9.49,44.70%
AA,ALCOA CORPORATION COM,"13,535 M",73.52,+2.35,+3.30%,"9,952,265",71.25,76.00,2.26,$9.28,68.73%
DHR,DANAHER CORP COM,"194,837 M",272.66,-9.54,-3.38%,"2,926,760",272.20,287.60,8.61,$9.16,35.82%
UPS,UNITED PARCEL SERVICE INC COM CL B,"185,553 M",213.49,-7.19,-3.26%,"3,821,050",194.58,214.50,14.68,$9.16,34.06%
BG,BUNGE LIMITED COM,"14,289 M",101.69,+2.63,+2.65%,"1,540,759",100.00,102.05,13.64,$9.15,32.85%
INTU,INTUIT INC COM,"151,724 M",535.81,-21.77,-3.90%,"1,250,525",535.54,569.99,7.63,$9.01,51.78%
HIG,THE HARTFORD FIN SERVICES GRP COM,"23,959 M",71.54,-1.42,-1.95%,"2,303,640",68.84,72.02,5.124,$8.93,33.50%
BIG,BIG LOTS INC COM,"1,132 M",37.06,+.07,+0.19%,"1,583,179",36.61,37.40,6.38,$8.82,66.08%
PGR,PROGRESSIVE CORP (OHIO) COM,"62,063 M",106.20,-.31,-0.29%,"2,925,845",101.46,112.00,5.66,$8.69,30.29%
SHW,SHERWIN-WILLIAMS CO COM,"71,606 M",273.10,-6.83,-2.44%,"1,265,089",204.83,285.00,6.98,$8.67,35.68%
NOW,SERVICENOW INC COM,"116,744 M",583.72,-26.74,-4.38%,"2,139,995",582.01,585.50,1.13,$8.57,49.77%
VMW,VMWARE INC COM CL A,"52,560 M",125.09,-8.68,-6.49%,"3,608,309",123.00,132.00,4.78,$8.47,44.13%
MCO,MOODYS CORP COM,"61,673 M",332.29,-17.85,-5.10%,"1,816,112",331.56,429.06,11.78,$8.37,36.21%
HOLX,HOLOGIC INC COM,"17,996 M",71.99,-1.18,-1.61%,"1,379,847",68.18,75.25,6.66,$8.32,33.03%
MA,MASTERCARD INCORPORATED COM CL A,"362,319 M",369.77,-4.62,-1.23%,"4,345,551",369.01,399.50,8.76,$8.30,39.01%
HAS,HASBRO INC COM,"13,021 M",94.39,-.54,-0.57%,"1,478,255",93.03,95.35,3.1,$8.18,32.90%
MS,MORGAN STANLEY COM,"185,298 M",104.57,-3.00,-2.79%,"9,755,922",104.45,104.81,8.03,$7.92,35.05%
DG,DOLLAR GENERAL CORP COM,"46,487 M",200.63,-1.47,-0.73%,"1,212,003",186.09,237.87,10.23,$7.84,37.22%
CRM,SALESFORCE.COM INC COM,"204,782 M",207.90,-9.77,-4.49%,"8,165,623",207.90,208.47,1.8,$7.83,55.30%
BABA,ALIBABA GROUP HOLDING LTD ADR SPONSORED,"331,409 M",122.25,-1.73,-1.40%,"13,889,857",122.09,122.25,6.997,$7.66,69.69%
STT,STATE STREET CORPORATION COM,"36,295 M",99.17,-2.22,-2.19%,"2,059,468",98.00,100.49,7.19,$7.65,35.79%
ZIM,ZIM INTEGRATED SHIPPING SERV COM,"8,328 M",70.23,-3.12,-4.25%,"4,809,251",69.08,70.90,27.83,$7.61,61.73%
LOW,LOWE'S COMPANIES INC COM,"152,206 M",225.91,-1.49,-0.66%,"2,192,806",225.01,282.39,11.55,$7.55,45.62%
PHM,PULTE GROUP INC COM,"11,900 M",47.86,-.68,-1.40%,"3,164,771",35.90,63.00,7.43,$7.51,51.81%
EQNR,EQUINOR ASA ADR,"103,183 M",31.93,+1.77,+5.87%,"8,636,751",31.50,32.10,.85,$7.25,58.97%
AFL,AFLAC INC COM,"42,591 M",65.31,-.24,-0.37%,"4,311,209",64.50,66.50,6.39,$7.25,26.76%
ABC,AMERISOURCEBERGEN CORPORATION COM,"29,329 M",140.24,-.84,-0.60%,"1,250,087",114.54,170.00,7.71,$7.16,29.49%
V,VISA INC COM CL A,"471,393 M",224.69,-.90,-0.40%,"7,535,206",224.01,224.69,6.04,$7.02,36.05%
CVS,CVS HEALTH CORPORATION COM,"136,816 M",104.24,-1.08,-1.03%,"5,923,053",100.00,104.52,5.95,$6.90,28.11%
TGT,TARGET CORP COM,"101,363 M",211.56,-2.28,-1.07%,"2,852,381",211.20,211.75,13.6,$6.88,42.67%
WFC,WELLS FARGO & COMPANY COM,"226,581 M",58.31,-.74,-1.25%,"38,650,503",58.23,58.25,4.21,$6.86,38.30%
ACGL,ARCH CAPITAL GROUP COM,"17,643 M",46.56,-.83,-1.75%,"2,743,349",45.49,47.30,5.23,$6.84,36.62%
STNG,SCORPIO TANKERS INC COM,910 M,15.59,+.45,+2.97%,"1,245,785",13.55,21.00,-4.85,$6.77,69.59%
