Index,Sample Name,Sample Type,Component Name,Component Type,IS Name,Component Group Name,Actual Concentration,Expected RT,Area,IS Area,Retention Time,Retention Time Delta (min),Used,Calculated Concentration,Accuracy,Precursor Mass,Accuracy Acceptance  ,Concentration Acceptance  ,Reportable
1,38U,Unknown,NAD_pos_2,Quantifiers,(No IS),,N/A,2.71,7.66E+02,N/A,2.63,0.08,TRUE,<2 points,N/A,664.2,,,TRUE
2,38U,Unknown,GLUTAMINE_pos_1,Quantifiers,(No IS),,N/A,1.76,8.41E+06,N/A,1.76,0,TRUE,<2 points,N/A,147.1,,,TRUE
3,38U,Unknown,INOSINE MONOPHOSPHATE_pos_1,Quantifiers,(No IS),,N/A,2.31,5.61E+02,N/A,2.31,0,TRUE,<2 points,N/A,349.1,,,TRUE
4,38U,Unknown,THREONINE_pos_1,Quantifiers,(No IS),,N/A,1.78,8.98E+05,N/A,1.76,0.02,TRUE,<2 points,N/A,120.1,,,TRUE
5,38U,Unknown,PURINE_pos_1,Quantifiers,(No IS),,N/A,4.5,N/A,N/A,N/A,N/A,TRUE,N/A,N/A,121,,,TRUE
6,38U,Unknown,KYNURENINE_pos_2,Quantifiers,(No IS),,N/A,5.07,N/A,N/A,N/A,N/A,TRUE,N/A,N/A,209.1,,,TRUE
7,38U,Unknown,CYTIDINE_pos_1,Quantifiers,(No IS),,N/A,1.88,1.59E+05,N/A,1.73,0.15,TRUE,<2 points,N/A,244.1,,,TRUE
8,38U,Unknown,SERINE_pos_2,Quantifiers,(No IS),,N/A,1.76,6.02E+05,N/A,1.75,0.01,TRUE,<2 points,N/A,106.1,,,TRUE
9,38U,Unknown,CITRULLINE_pos_2,Quantifiers,(No IS),,N/A,1.79,3.57E+05,N/A,1.78,0.01,TRUE,<2 points,N/A,176.1,,,TRUE
10,38U,Unknown,INOSINE_pos_1,Quantifiers,(No IS),,N/A,3.5,5.94E+04,N/A,3.39,0.11,TRUE,<2 points,N/A,269.1,,,TRUE
11,38U,Unknown,GAMMA-AMINOBUTYRATE_pos_1,Quantifiers,(No IS),,N/A,1.78,2.03E+04,N/A,1.79,0.01,TRUE,<2 points,N/A,104.054,,,TRUE
12,38U,Unknown,CYTOSINE_pos_1,Quantifiers,(No IS),,N/A,9.49,9.90E+03,N/A,9.49,0,TRUE,<2 points,N/A,112,,,TRUE
13,38U,Unknown,ISOLEUCINE_pos_1,Quantifiers,(No IS),,N/A,2.29,4.33E+07,N/A,2.3,0.01,TRUE,<2 points,N/A,132.1,,,TRUE
14,38U,Unknown,GLUTAMATE_pos_1,Quantifiers,(No IS),,N/A,1.78,3.45E+05,N/A,1.76,0.02,TRUE,<2 points,N/A,148,,,TRUE
15,38U,Unknown,N-ACETYLGLUCOSAMINE_pos_1,Quantifiers,(No IS),,N/A,13.67,7.62E+04,N/A,13.7,0.03,TRUE,<2 points,N/A,222.1,,,TRUE
16,38U,Unknown,SARCOSINE_pos_1,Quantifiers,(No IS),,N/A,1.77,5.89E+05,N/A,1.75,0.02,TRUE,<2 points,N/A,90,,,TRUE
17,38U,Unknown,L-DIHYDROOROTIC ACID_pos_1,Quantifiers,(No IS),,N/A,1.91,2.93E+03,N/A,1.8,0.11,TRUE,<2 points,N/A,159,,,TRUE
18,38U,Unknown,GLYCINE_pos_2,Quantifiers,(No IS),,N/A,2,2.12E+08,N/A,2.03,0.03,TRUE,<2 points,N/A,76,,,TRUE
19,38U,Unknown,METHIONINE_pos_1,Quantifiers,(No IS),,N/A,2.12,2.46E+05,N/A,2.12,0,TRUE,<2 points,N/A,150,,,TRUE
20,38U,Unknown,ADENINE_pos_1,Quantifiers,(No IS),,N/A,2.3,8.69E+05,N/A,2.41,0.11,TRUE,<2 points,N/A,136,,,TRUE
21,38U,Unknown,METHYLTHIOADENOSINE_pos_1,Quantifiers,(No IS),,N/A,1.85,6.48E+05,N/A,2,0.15,TRUE,<2 points,N/A,298.1,,,TRUE
22,38U,Unknown,THYMIDINE_pos_1,Quantifiers,(No IS),,N/A,14,7.94E+03,N/A,14.06,0.06,TRUE,<2 points,N/A,243,,,TRUE
23,38U,Unknown,DIHYDROFOLATE_pos_2,Quantifiers,(No IS),,N/A,2.44,5.92E+02,N/A,2.4,0.04,TRUE,<2 points,N/A,444.188,,,TRUE
