Row Labels,EZ 1,EZ 2,post plasma_dried,pre plasma
(R)-LIPOIC ACID_neg_1,425.9,512.8,1539,513.1
1-METHYL-L-HISTIDINE_pos_4,1821000,1674000,2436000,1927000
1-METHYLADENOSINE_pos_1,1687000,2193000,217500,179200
1-METHYLNICOTINAMIDE_pos_1,6463000,7015000,200200,503200
2-AMINOBUTYRIC ACID_pos_1,11180000,11140000,3790000,13140000
2-AMINOISOBUTYRATE_pos_1,15360000,15440000,4163000,14300000
2-AMINOOCTANOIC ACID_pos_1,0,15810,83600,71120
2-DEOXYGLUCOSE-6-PHOSPHATE_neg_4,2307,28060,3081,70580
2-DEOXYGUANOSINE 5'-MONOPHOSPHATE_pos_1,17760,2628,632.7,772.1
2-HYDROXY-3-METHYLBUTYRIC ACID_neg_1,164800000,146600000,183800000,157500000
2-HYDROXY-3-METHYLBUTYRIC ACID_pos_4,11490,52770,28200,20610
2-HYDROXYBUTYRATE_neg_3,14320000,26590000,9475000,13170000
2-ISOPROPYLMALIC ACID_neg_2,93360,59850,4543,91380
2-KETOHEXANOIC ACID_neg_1,266600,0,183400,0
2-KETOHEXANOIC ACID_pos_2,0,0,0,0
2-PHOSPHOGLYCERATE_pos_4,0,0,34200,0
"2,3-BUTANEDIOL_pos_1",2073000,2170000,166500,25310000
"2,3-DIHYDROXYBENZOIC ACID_neg_1",9224,47250,0,8639
"2,3-DIPHOSPHO-D-GLYCERIC ACID__neg_4",8262,12820,13680,26370
3-(4-HYDROXYPHENYL)PYRUVATE_neg_1,6521,49630,8535,20550
3-AMINOISOBUTANOIC ACID_pos_1,71110,43140,33150,1816
3-HYDROXY-3-METHYLGLUTARYL-COA_+2_neg_3,61400,94400,12560,20890
3-HYDROXYANTHRANILIC ACID_pos_1,0,0,507100,26580
3-HYDROXYBUTANOATE_pos_1,0,0,1071000,0
3-HYDROXYBUTYRYL-CoA_-2_neg_4,0,504,549.7,598.6
3-HYDROXYPHENYLACETIC ACID_neg_1,60360,36700,0,0
3-METHYL-2-OXOVALERIC ACID_neg_1,1553000,1717000,780100,0
3-METHYLAMINO-L-ALANINE_pos_2,278900,324300,278900,725600
3-METHYLHISTAMINE_pos_2,50710,0,70300,0
"3,5-DIIODOTHYRONINE_pos_1",50490,0,9265,58320
4-AMINOBENZOIC ACID_neg_1,217800,0,27070,11690
4-AMINOBENZOIC ACID_pos_1,8077000,9673000,0,953600
4-HYDROXYBENZOATE_neg_1,214600,203600,21690,1275000
4-IMIDAZOLEACETATE_pos_1,385000,144400,475300,127000
4-PYRIDOXATE_neg_2,404900,611900,12960,51130
4-PYRIDOXATE_pos_1,0,0,0,2468
5-HYDROXYTRYPTOPHAN_neg_2,1405,10480,10010,2025
5-HYDROXYTRYPTOPHAN_pos_1,3398,8009,19290,15180
5-METHOXYTRYPTOPHAN_pos_2,68990,80190,55800,62370
5-METHYLTETRAHYDROFOLIC ACID_pos_4,546200,1433000,2704000,2549000
5-THYMIDYLIC ACID_neg_1,18040,45830,6665,11520
5-THYMIDYLIC ACID_pos_1,1782000,2134000,940700,4266000
5HIAA,4680,15530,8256,24120
6-PHOSPHOGLUCONATE_neg_2,1726000,1877000,1365000,2205000
6-PHOSPHOGLUCONATE_pos_3,439500,390100,399000,364000
7-METHYLGUANOSINE_pos_1,140900,9923,16420,0
ACADESINE_neg_2,26800,22950,14610,1037
ACADESINE_pos_2,9487,55520,5762,622.4
ACETOACETATE_neg_2,82040,187300,0,421500
ACETOACETYL-COA_neg_1,991.2,494.9,0,926.9
ACETOACETYL-COA_pos_1,0,3930,0,0
ACETYL-COA_neg_1,2100,419.6,419.6,420.1
ACETYL-COA_pos_1,1249,0,859,967
ACETYLPHOSPHATE_pos_1,36840,154100,313300,0
ADENINE_pos_1,18770,14340,32850,44010
ADENOSINE MONOPHOSPHATE_neg_2,1979,8572,216400,517900
ADENOSINE MONOPHOSPHATE_pos_1,42000,18570,983400,1761000
ADENOSINE PHOSPHOSULFATE_neg_2,28310,60070,394500,0
ADENOSINE TRIPHOSPHATE_neg_2,1400,446.9,2399,4121
ADENOSINE TRIPHOSPHATE_pos_1,4358,18930,22020,783.6
ADENOSINE_pos_1,0,0,0,0
ADP_neg_2,12560,1780,8086000,2983000
ADP_pos_1,31920,12350,525300,15500
ADP-GLUCOSE_neg_1,1747,0,0,1498
ADP-GLUCOSE_pos_1,39330,4690,12230,7195
AICAR_neg_1,3826000,5784000,343200,650100
AICAR_pos_1,506.5,463.4,506.2,4227
ALANINE_pos_1,741800,870500,391000,0
ALLANTOIN_neg_2,29970,33610,45400,47200
ALLANTOIN_pos_2,42030,0,0,16580
ALPHA-D-GLUCOSE_neg_3,1760000,1203000,192700,1274000
AMINOADIPATE_pos_1,132300,193700,0,109100
ANTHRANILIC ACID_pos_4,2178000,0,143100,327100
ARGININE_pos_1,38350000,21840000,5684000,13650000
ARGININOSUCCINIC ACID_neg_2,107300,195700,119700,58160
ARGININOSUCCINIC ACID_pos_1,6671,10830,3349,27920
ASCORBATE_neg_2,60200,282000,67190,174400
ASPARAGINE_pos_2,43240000,37930000,17200000,21980000
ASPARTATE_pos_3,97130,35370,199600,426800
ATROLACTIC ACID_neg_2,622300,1596000,38580,86100
BETAINE ALDEHYDE_pos_1,3850000,2868000,2200000,3466000
BETAINE_pos_2,33430000,30050000,8777000,23290000
BIOTIN_neg_2,525400,614500,129200,181700
BIOTIN_pos_4,32320,14320,28320,33300
BUTYRYL-COA_neg_2,1140000,706400,58080,28210
BUTYRYL-COA_pos_1,0,0,0,2986
CADAVERINE_pos_1,37630,30510,31940,0
CARBAMOYL PHOSPHATE_neg_1,4593,44830,1662,0
