"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B" "GB_ACC" "RefSeq.Transcript.ID" "Entrez.Gene" "Gene.Symbol"
"1419758_PM_at" -3.97203084416321 6.20053846288386 -30.0646591068983 7.69968072069435e-13 3.47571287412864e-08 14.3480626834322 "M30697" "NM_011076" "18671" "Abcb1a"
"1419759_PM_at" -3.64873486850051 6.53258246831646 -24.200747913551 1.0504112014482e-11 2.37083060222866e-07 13.3842198258035 "M30697" "NM_011076" "18671" "Abcb1a"
"1434909_PM_at" -2.95579183952013 5.33905812984692 -19.7261817396637 1.20817643539307e-10 1.81794308233594e-06 12.2269858555301 "BF462770" "NM_027491" "52187" "Rragd"
"1421396_PM_at" -2.48217518869477 3.95514114749097 -10.2076041790008 2.42408391454946e-07 0.000547127859933385 7.02656329678593 "M69196" "NM_013628" "18548" "Pcsk1"
"1417094_PM_at" -2.31026725054575 6.21598715526523 -12.192596311042 3.30661758753727e-08 0.000186580030648775 8.60216174408687 "NM_133348" "NM_001146057 /// NM_001146058 /// NM_133348" "70025" "Acot7"
"1426817_PM_at" -1.97077488510682 4.66009098053346 -10.898357725453 1.17151727756245e-07 0.000318294262455734 7.61668825112553 "X82786" "NM_001081117 /// XM_001000692 /// XM_001479849" "17345" "Mki67"
"1424305_PM_at" -1.90472917008826 7.12420951511592 -8.68442213467121 1.39939640027006e-06 0.00191424705771487 5.54100130435312 "BC006026" "NM_152839" "16069" "Igj"
"1438311_PM_at" -1.82598059582537 3.71436207553255 -11.9561431838159 4.12987204248151e-08 0.000204421195154794 8.43293921439136 "BB703633" "NM_053217" "112419" "2010002M12Rik"
"1434437_PM_x_at" -1.65667588019354 5.75612666008473 -18.693852328292 2.28656169699407e-10 2.58044203910023e-06 11.8819892181596 "AV301324" "NM_009104" "20135" "Rrm2"
"1448226_PM_at" -1.62440552448743 4.32006003969985 -13.0423107841906 1.53197294497542e-08 0.000115257984515225 9.17398556137106 "NM_009104" "NM_009104" "20135" "Rrm2"
"1449874_PM_at" -1.57639120810569 4.10742222885989 -15.161052156024 2.68511878149294e-09 2.42417893830746e-05 10.3844274388997 "NM_016923" "NM_001159711 /// NM_016923" "17087" "Ly96"
"1422804_PM_at" -1.49647027258122 6.16410678287802 -8.13176381772031 2.80051709439293e-06 0.00280929204795536 4.93144113174508 "NM_011454" "NM_011454" "20708" "Serpinb6b"
"1454694_PM_a_at" -1.43770555526351 5.35604298498003 -11.7598266508931 4.98135430474011e-08 0.000204421195154794 8.28890627660603 "BM211413" "NM_011623" "21973" "Top2a"
"1417910_PM_at" -1.43766274656241 4.31227560064503 -10.99454671892 1.06190717477635e-07 0.000318294262455734 7.69513309201048 "X75483" "NM_009828" "12428" "Ccna2"
"1422567_PM_at" -1.41379744220281 5.07515843893875 -8.58475815173145 1.58204193068826e-06 0.00198374874425552 5.43404118338008 "NM_022018" "NM_022018" "63913" "Fam129a"
"1418872_PM_at" -1.36562203384248 6.39216970396578 -8.72720979219445 1.32802692193482e-06 0.00187338947759561 5.58653049785262 "NM_011075" "NM_011075" "18669" "Abcb1b"
"1415810_PM_at" -1.29969245234976 4.78500734487043 -8.94877928672515 1.01577602011185e-06 0.00158114294220238 5.81859634051042 "BB702754" "NM_001111078 /// NM_001111079 /// NM_001111080 /// NM_010931" "18140" "Uhrf1"
"1436576_PM_at" -1.2639020749719 8.70883328480452 -8.42577493198452 1.92821818998617e-06 0.0022349347934833 5.26075005993728 "BB239429" "NM_175449" "215900" "Fam26f"
"1449925_PM_at" -1.25304200447869 5.19228296042595 -8.03314326943882 3.18086240952669e-06 0.00296754671407265 4.81835525903309 "NM_009910" "NM_009910" "12766" "Cxcr3"
"1417976_PM_at" -1.19529502656363 6.57693672523912 -11.5916055328861 5.86180472365182e-08 0.000220506439191972 8.16286574537747 "NM_007398" "NM_007398" "11486" "Ada"
"1455768_PM_at" -1.13784776303967 7.43208730414361 -9.14208272552209 8.07242057373534e-07 0.00131820568985746 6.01608594367424 "BG071996" "NM_023409" "67963" "Npc2"
"1452837_PM_at" -1.07425262293957 6.10212461748227 -9.80831955225185 3.7588842273921e-07 0.000771271785948667 6.66283195520766 "AK021389" "NM_001164885 /// NM_022882" "64898" "Lpin2"
"1427202_PM_at" -1.07239055003681 7.71042506803023 -8.82331403202335 1.18153412408768e-06 0.00177785439651473 5.68794482886708 "AV002340" "NM_177101" "320204" "4833442J19Rik"
"1448449_PM_at" -1.04731976871486 7.13968688126887 -12.2088532574118 3.25690300939603e-08 0.000186580030648775 8.61362880763646 "NM_019955" "NM_001164107 /// NM_001164108 /// NM_019955" "56532" "Ripk3"
"1452836_PM_at" -1.0293024959487 6.60666858628238 -10.9879118594329 1.06910243618934e-07 0.000318294262455734 7.68975046210247 "AK021389" "NM_001164885 /// NM_022882" "64898" "Lpin2"
"1424140_PM_at" -1.02904704518411 5.37521970100244 -8.13583233291851 2.78590853760893e-06 0.00280929204795536 4.93607776054997 "BC027438" "NM_178389" "74246" "Gale"
"1439256_PM_x_at" -1.01699083499872 5.20143622391553 -11.064615735546 9.89017097421068e-08 0.000318294262455734 7.75172367237484 "BB726971" "NR_003568 /// XR_001658" "664862" "Gpr137b-ps"
"1450881_PM_s_at" -0.98006756026972 4.764766410972 -8.04084790237665 3.14924779869272e-06 0.00296754671407265 4.82723817584558 "AK010724" "NM_031999" "83924" "Gpr137b"
"1455908_PM_a_at" -0.977256776794443 5.3331258993987 -8.14585343146207 2.75027245221733e-06 0.00280929204795536 4.9474885328552 "AV102733" "NM_029023" "74617" "Scpep1"
"1429171_PM_a_at" -0.973501784024546 2.87422936369095 -8.09261303331537 2.94534929129522e-06 0.0028903480947469 4.88670772463327 "BB702347" "NM_019438 /// XM_485604" "54392" "Ncapg"
"1417698_PM_at" -0.954201545594261 8.41597970062419 -10.8760066538119 1.19868909898927e-07 0.000318294262455734 7.59833356472566 "AV325174" "NM_133801" "98053" "Gtf2f1"
"1424965_PM_at" -0.938821043602021 8.39901522611525 -9.40039498120897 5.97225784639545e-07 0.0011233070476839 6.2729625352079 "BC026563" "NM_134152" "107321" "Lpxn"
"1424129_PM_at" -0.909132902605311 6.31085910876862 -10.3955060177487 1.98133833729938e-07 0.000470734704652796 7.19187432294124 "BC024891" "NM_025813" "66868" "Mfsd1"
"1460235_PM_at" -0.843374229453734 8.1382839978977 -9.13121781789043 8.17654888372189e-07 0.00131820568985746 6.00510655161249 "NM_007644" "NM_007644" "12492" "Scarb2"
"1423804_PM_a_at" -0.817739768973342 6.37909177059873 -8.74178481860666 1.30461341990844e-06 0.00187338947759561 5.60198612332959 "BC004801" "NM_145360 /// NM_177960" "319554" "Idi1"
"1437688_PM_x_at" -0.781373059260962 10.4055060997123 -10.5389302011965 1.70201381827603e-07 0.000426836698726656 7.31561156196837 "AV121721" "NM_027439" "70495" "Atp6ap2"
"1439456_PM_x_at" -0.775670670113087 10.0549189004847 -9.68095427839936 4.33636003751483e-07 0.000851076645449813 6.54313200053951 "BB560955" "NM_027439" "70495" "Atp6ap2"
"1434768_PM_at" -0.660564249262105 7.44964219257823 -8.52573765816705 1.70209612897289e-06 0.002076603279945 5.37009447652102 "AI266910" "NM_009906" "12751" "Tpp1"
"1439436_PM_x_at" -0.624339623960718 6.98499382818779 -8.2310832285657 2.4661556752557e-06 0.00265058888896947 5.0439854807388 "BB418702" "NM_016692" "16319" "Incenp"
