"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B" "GB_ACC" "RefSeq.Transcript.ID" "Entrez.Gene" "Gene.Symbol"
"1416645_PM_a_at" -5.13576027540776 5.37251339968927 -25.502578457587 1.92882212304954e-13 1.86416245774916e-10 21.1858348850957 "NM_007423" "NM_007423" "11576" "Afp"
"1425822_PM_a_at" -4.98185110619899 7.49626892918926 -44.7135495013846 6.27858518689722e-17 1.41710806960864e-12 28.2116824410869 "AB015422" "NM_008052" "14357" "Dtx1"
"1453568_PM_at" -4.60651536385578 8.86109803459319 -32.5413325139846 5.99009070339078e-15 2.07998988032126e-11 24.3899172039578 "BE633038" "NM_029723" "76747" "Dapl1"
"1417038_PM_at" -3.8848725942736 8.23622797932844 -40.3058115097466 2.79014584875721e-16 3.14874934396873e-12 27.0187788649166 "NM_017380" "NM_001113486 /// NM_001113487 /// NM_001113488 /// NM_017380" "53860" "Sept9"
"1433947_PM_at" -3.7714797003334 5.40584878619361 -37.4838410384144 7.90736565907684e-16 4.81796374272154e-12 26.1506222465935 "BB433704" "NM_001163753 /// NM_021411" "58222" "Rab37"
"1449038_PM_at" -3.76683944596043 8.23948707141627 -36.0357414276021 1.39102207677625e-15 6.27921275677568e-12 25.6687680914637 "NM_008288" "NM_001044751 /// NM_008288" "15483" "Hsd11b1"
"1455425_PM_at" -3.63790445520412 4.32834896482986 -25.7590629535329 1.67353669383309e-13 1.79869333086475e-10 21.3206764769234 "BG071655" "NM_027384 /// XM_125673 /// XM_907080" "52463" "Tet1"
"1450065_PM_at" -3.08666067473546 7.16903151579348 -26.283537872342 1.25709939958583e-13 1.6213349713344e-10 21.5915546835946 "NM_007406" "NM_001037723 /// NM_001037724 /// NM_001109756 /// NM_007406" "11513" "Adcy7"
"1435017_PM_at" -2.99280641190345 6.1909170706919 -30.3865147618819 1.59385336069399e-14 3.59740672775436e-11 23.5081989047925 "AV000569" "NM_001085500 /// XM_126589 /// XM_895143 /// XM_914586 /// XM_923326" "217149" "Cisd3"
"1450167_PM_at" -2.98625496314314 5.4858090333318 -28.8235289660367 3.38427431495166e-14 5.87575103273972e-11 22.8176727966032 "NM_021411" "NM_001163753 /// NM_021411" "58222" "Rab37"
