"GB_ACC" "RefSeq.Transcript.ID" "Entrez.Gene" "Gene.Symbol"
"1415670_PM_at" "BC024686" "NM_017477 /// NM_201244" "54161" "Copg"
"1415671_PM_at" "NM_013477" "NM_013477" "11972" "Atp6v0d1"
"1415672_PM_at" "NM_020585" "NM_001042484 /// NM_020585" "57437" "Golga7"
"1415673_PM_at" "NM_133900" "NM_133900" "100678" "Psph"
"1415674_PM_a_at" "NM_021789" "NM_021789" "60409" "Trappc4"
"1415675_PM_at" "BC008256" "NM_010073" "13481" "Dpm2"
"1415676_PM_a_at" "NM_011186" "NM_011186" "19173" "Psmb5"
"1415677_PM_at" "NM_026819" "NM_026819" "52585" "Dhrs1"
"1415678_PM_at" "BC008595" "NM_008910" "19042" "Ppm1a"
"1415679_PM_at" "NM_025498" "NM_025498" "66340" "Psenen"
"1415680_PM_at" "NM_008569" "NM_008569" "17222" "Anapc1"
"1415681_PM_at" "NM_053164" "NM_053164" "94067" "Mrpl43"
"1415682_PM_at" "NM_023045" "NM_023045" "65246" "Xpo7"
"1415683_PM_at" "BC016526" "NM_008707" "18107" "Nmt1"
"1415684_PM_at" "AV168389" "NM_053069" "11793" "Atg5"
"1415685_PM_at" "NM_133767" "NM_133767" "76784" "Mtif2"
"1415686_PM_at" "AV339290" "NM_026697" "68365" "Rab14"
"1415687_PM_a_at" "BM212050" "NM_001146120 /// NM_001146121 /// NM_001146122 /// NM_001146123 /// NM_001146124 /// NM_011179" "19156" "Psap"
"1415688_PM_at" "NM_025985" "NM_025985" "67128" "Ube2g1"
"1415689_PM_s_at" "BC007473" "NM_001145778 /// NM_023685" "72739" "Zkscan3"
"1415690_PM_at" "NM_053161" "NM_053161" "94064" "Mrpl27"
"1415691_PM_at" "BQ176806" "NM_007862 /// XM_001479162 /// XM_001479172 /// XM_001479185 /// XM_001479192" "100047603 /// 13383" "Dlg1 /// LOC100047603"
"1415692_PM_s_at" "BI653492" "NM_001110499 /// NM_001110500 /// NM_007597" "12330" "Canx"
"1415693_PM_at" "AW545361" "NM_024207" "67819" "Derl1"
"1415694_PM_at" "AK004541" "NM_001164314 /// NM_001164488 /// NM_011710" "22375" "Wars"
"1415695_PM_at" "BC005762" "NM_011965" "26440" "Psma1"
"1415696_PM_at" "BC005549" "NM_009120" "20224" "Sar1a"
"1415697_PM_at" "BG069656" "NM_001080794 /// NM_001080795 /// NM_001080796 /// NM_001080797 /// NM_011816" "23881" "G3bp2"
"1415698_PM_at" "BC011152" "NM_001035122 /// NM_027307" "105348" "Golm1"
"1415699_PM_a_at" "BC003350" "NM_001177874 /// NM_145370" "209318" "Gps1"
"1415700_PM_a_at" "BC011111" "NM_026155" "67437" "Ssr3"
"1415701_PM_x_at" "BC025918" "NM_022891" "65019" "Rpl23"
"1415702_PM_a_at" "BC013702" "NM_013502 /// XM_001474515" "100045360 /// 13016" "Ctbp1 /// LOC100045360"
"1415703_PM_at" "BM248615" "NM_021523" "59026" "Huwe1"
"1415704_PM_a_at" "AF320340" "NM_001134426 /// NM_001134427 /// NM_175565 /// NM_175833" "321022" "Cdv3"
"1415705_PM_at" "AK018610" "NM_172396" "66818" "9130011J15Rik"
"1415706_PM_at" "BQ175820" "NM_009938" "12847" "Copa"
"1415707_PM_at" "AI036318" "NM_175300" "99152" "Anapc2"
"1415708_PM_at" "D50523" "NR_002321 /// NR_002322" "544752" "Tug1"
"1415709_PM_s_at" "BM948896" "NM_178930" "107338" "Gbf1"
"1415710_PM_at" "BM123013" "NM_001033310 /// NM_001163456 /// NR_028088" "231430" "Cox18"
"1415711_PM_at" "BC025221" "NM_001102430 /// XM_001473166 /// XM_975420" "211673" "Arfgef1"
"1415712_PM_at" "AJ250693" "NM_207302" "360216" "Zranb1"
"1415713_PM_a_at" "U46690" "NM_001159502 /// NM_020494" "27225" "Ddx24"
"1415714_PM_a_at" "BC027564" "NM_025665" "66618" "Snrnp27"
"1415715_PM_at" "AK010497" "NM_026698" "68366" "Tmem129"
"1415716_PM_a_at" "AA208652" "NM_027015" "57294" "Rps27"
"1415717_PM_at" "BI735988" "NM_025739" "66743" "Rnf220"
"1415718_PM_at" "BI152383" "NM_001081168 /// XR_030688" "100044471 /// 50724" "LOC100044471 /// Sap30l"
"1415719_PM_s_at" "BE134617" "NM_028840" "74252" "Armc1"
"1415720_PM_s_at" "AK011037" "NM_025649" "66591" "Mad2l1bp"
"1415721_PM_a_at" "AK004750" "NM_029090" "74763" "Nat15"
"1415722_PM_a_at" "AK003213" "NM_025418" "66201" "Vta1"
"1415723_PM_at" "BQ176989" "NM_173363 /// NM_178041" "217869" "Eif5"
"1415724_PM_a_at" "AV000235" "NM_009861" "12540" "Cdc42"
"1415725_PM_at" "AA866997" "NM_001039521" "106298" "Rrn3"
"1415726_PM_at" "AW536361" "NM_030886 /// NM_198010" "81702" "Ankrd17"
"1415727_PM_at" "AV017766" "NM_144897" "246703" "Apoa1bp"
"1415728_PM_at" "BG806432" "NM_019402" "54196" "Pabpn1"
"1415729_PM_at" "BQ174223" "NM_001080773 /// NM_011062" "18607" "Pdpk1"
"1415730_PM_at" "BG972112" "NM_001164272 /// NM_172302" "269061" "Cpsf7"
"1415731_PM_at" "W08638" "NM_021421" "52477" "Angel2"
"1415732_PM_at" "BG071718" "NM_178592" "193742" "Bat5"
"1415733_PM_a_at" "BI080296" "NM_001099675 /// NM_001134646 /// XM_001474120 /// XM_898905 /// XM_906738 /// XM_920041" "68512" "Tomm5"
"1415734_PM_at" "NM_009005" "NM_009005" "19349" "Rab7"
"1415735_PM_at" "NM_015735" "NM_015735" "13194" "Ddb1"
"1415736_PM_at" "NM_020031" "NM_027044" "56612" "Pfdn5"
"1415737_PM_at" "NM_019437" "NM_019437" "54391" "Rfk"
"1415738_PM_at" "NM_025334" "NM_025334" "66073" "Txndc12"
"1415739_PM_at" "NM_133693" "NM_133693" "68035" "Rbm42"
"1415740_PM_at" "NM_008950" "NM_008950" "19184" "Psmc5"
"1415741_PM_at" "NM_011626" "NM_011626" "21982" "Tmem165"
"1415742_PM_at" "BC016485" "NM_007517" "11993" "Aup1"
"1415743_PM_at" "NM_010412" "NM_001077696 /// NM_010412" "15184" "Hdac5"
"1415744_PM_at" "BC022974" "NM_010385" "14976" "H2-Ke2"
"1415745_PM_a_at" "NM_007834" "NM_007834" "13185" "Dscr3"
"1415746_PM_at" "AF363690" "NM_001110131 /// NM_001110132 /// NM_027882" "71722" "Cic"
"1415747_PM_s_at" "C80812" "NM_024182" "66878" "Riok3"
"1415748_PM_a_at" "NM_021608" "NM_021608" "59288" "Dctn5"
"1415749_PM_a_at" "NM_017475" "NM_017475" "54170" "Rragc"
"1415750_PM_at" "BC019504" "NM_145396" "213773" "Tbl3"
"1415751_PM_at" "BC020024" "NM_001122896 /// NM_001122897 /// NM_010470" "15441" "Hp1bp3"
"1415752_PM_at" "BC016084" "NM_001001181" "407819" "BC031181"
"1415753_PM_at" "BC005632" "NM_145421" "216169" "Fam108a"
"1415754_PM_at" "BC024419" "NM_027231" "69833" "Polr2f"
"1415755_PM_a_at" "BC019372" "NM_023230" "66589" "Ube2v1"
"1415756_PM_a_at" "BB667523" "NM_133854" "20615" "Snapin"
"1415757_PM_at" "BM948896" "NM_178930" "107338" "Gbf1"
"1415758_PM_at" "BM118442" "NM_028194 /// NM_177136" "72313" "Fryl"
"1415759_PM_a_at" "BC028547" "NM_026774 /// XM_001478151 /// XM_001478161 /// XM_001480844 /// XM_001480846" "68576" "Hbxip"
"1415760_PM_s_at" "BC027632" "NM_009720" "11927" "Atox1"
"1415761_PM_at" "AV021593" "NM_026851" "68836" "Mrpl52"
"1415762_PM_x_at" "AV021593" "NM_026851" "68836" "Mrpl52"
"1415763_PM_a_at" "BE853401" "NM_029748" "76799" "2510006D16Rik"
"1415764_PM_at" "AK003350" "NM_144530" "70579" "Zc3h11a"
"1415765_PM_at" "BI080136" "NM_001081196 /// XM_001477687" "68693" "Hnrnpul2"
"1415766_PM_at" "BQ175529" "NM_011342" "20333" "Sec22b"
"1415767_PM_at" "BB350365" "NM_173761" "228994" "Ythdf1"
"1415768_PM_a_at" "AV054417" "NM_026275" "67615" "Ube2r2"
